"No.","Time","Source","Destination","Protocol","Length","Info"
"22","5.416859","2409:4063:4d0f:d97a:1dbf:50d1:2c35:a8cb","2a01:111:2003::50","HTTP","276","GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?55e7ba39254c2e32 HTTP/1.1 "
"33","5.470677","2a01:111:2003::50","2409:4063:4d0f:d97a:1dbf:50d1:2c35:a8cb","HTTP","1347","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"56","6.058900","192.168.48.32","54.82.22.214","HTTP","494","GET / HTTP/1.1 "
"76","6.611166","192.168.48.32","54.82.22.214","HTTP","569","GET /resources/img/main_carousel_3.jpg HTTP/1.1 "
"81","6.614897","54.82.22.214","192.168.48.32","HTTP","549","HTTP/1.1 200 OK  (text/html)"
"85","6.922647","54.82.22.214","192.168.48.32","HTTP","511","HTTP/1.1 206 Partial Content  (image/jpeg)"
"86","6.923967","192.168.48.32","54.82.22.214","HTTP","570","GET /resources/img/main_carousel_3.jpg HTTP/1.1 "
"93","7.205521","54.82.22.214","192.168.48.32","HTTP","1385","HTTP/1.1 206 Partial Content  (image/jpeg)"
"95","7.213177","192.168.48.32","54.82.22.214","HTTP","485","GET /favicon.ico HTTP/1.1 "
"96","7.480113","54.82.22.214","192.168.48.32","HTTP","1312","HTTP/1.1 404 Not Found  (text/html)"
"101","9.178918","192.168.48.32","54.82.22.214","HTTP","546","GET /login.html HTTP/1.1 "
"110","9.478380","54.82.22.214","192.168.48.32","HTTP","860","HTTP/1.1 200 OK  (text/html)"
"211","13.429937","192.168.48.32","199.59.243.222","HTTP","179","GET /wpad.dat HTTP/1.1 "
"217","14.062730","199.59.243.222","192.168.48.32","HTTP","420","HTTP/1.1 403 Forbidden  (text/html)"
"229","16.501372","2409:4063:4d0f:d97a:1dbf:50d1:2c35:a8cb","2a01:111:2003::50","HTTP","270","GET /msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?bd5e41f8ed895db1 HTTP/1.1 "
"239","16.627770","2a01:111:2003::50","2409:4063:4d0f:d97a:1dbf:50d1:2c35:a8cb","HTTP","217","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"254","18.934917","192.168.48.32","54.82.22.214","HTTP","792","POST /signin.html HTTP/1.1  (application/x-www-form-urlencoded)"
"259","19.360860","54.82.22.214","192.168.48.32","HTTP","426","HTTP/1.1 302 Found "
"260","19.362304","192.168.48.32","54.82.22.214","HTTP","599","GET /login.html?login_error=true HTTP/1.1 "
"269","20.000325","54.82.22.214","192.168.48.32","HTTP","996","HTTP/1.1 200 OK  (text/html)"
